training_run,model_name,real_interventions,drive,elva_mae,elva_whiteness,elva_expert_whiteness,val_mae,model_type,traj_mae,traj_rmse,traj_max,traj_failure_rate,distance,distance_per_intervention,whiteness,cmd_whiteness,expert_whiteness
3ftnqxcb,ebm-512-s1,4,"('ebm-paper-ebm-512-s1-forward_2022-09-21-10-51-39', 'ebm-paper-ebm-512-s1-backward_2022-09-21-11-02-14')",7.487386374941065,191.0606384277344,17.679367742783565,8.607146266277077,pilotnet-ebm,0.5021334361405494,0.6178284687118945,1.716364684084486,10.592712334346205,8479.229138138104,2119.807284534526,35.24793652609564,176.92808782494473,17.655093527296977
3ftnqxcb,ebm-512-s1,1,"('ebm-paper-classifier-512-forward_2022-09-22-11-47-18', 'ebm-paper-classifier-512-backward_2022-09-22-11-58-03')",7.487386374941065,191.0606384277344,17.679367742783565,8.607146266277077,pilotnet-ebm,0.4738652084720619,0.5898114136740751,1.606097811285997,9.690126076720732,8453.523025505792,8453.523025505792,62.167396978633604,287.1408841072186,17.655093527296977
3ftnqxcb,ebm-512-s1,2,"('ebm-paper-ebm-512-s1-forward_2022-09-23-11-18-29', 'ebm-paper-ebm-512-s1-backwards_2022-09-23-11-07-13')",7.487386374941065,191.0606384277344,17.679367742783565,8.607146266277077,pilotnet-ebm,0.4828736055907416,0.5926814600182083,1.7184010145221598,9.07260907998371,8519.657455410284,4259.828727705142,28.570324556520617,223.58849354347734,17.655093527296977
3jk7cnqa,ebm-normal-1-s1,5,"('e2e-ebm-normal-1-s1-day1-forward_2022-09-20-13-37-56', 'e2e-ebm-normal-1-s1-day1-backward_2022-09-20-13-48-42')",6.9747031464466005,152.19187927246094,17.679367742783565,8.437539781358483,pilotnet-ebm,0.4123583533237718,0.5249894811819229,1.7213636267801802,5.836352238255548,8473.09647287258,1694.6192945745158,49.922411526996,119.39070583376484,17.655093527296977
3jk7cnqa,ebm-normal-1-s1,2,"('ebm-paper-ebm-normal-1-s1-forward_2022-09-22-12-15-22', 'ebm-paper-ebm-normal-1-s1-backward_2022-09-22-12-25-57')",6.9747031464466005,152.19187927246094,17.679367742783565,8.437539781358483,pilotnet-ebm,0.4079556313030657,0.5126678184769385,1.708276664206474,5.59707070540998,8473.696547408841,4236.8482737044205,38.956632463148836,137.22090133205546,17.655093527296977
3jk7cnqa,ebm-normal-1-s1,3,"('ebm-paper-ebm-normal-1-s1-forward_2022-09-23-12-28-45', 'ebm-paper-ebm-normal-1-s1-backwards_2022-09-23-12-17-08')",6.9747031464466005,152.19187927246094,17.679367742783565,8.437539781358483,pilotnet-ebm,0.4478157436518569,0.552821022929221,1.5967857469375273,7.919992508492081,8520.97677517995,2840.32559172665,34.206305442346846,77.27510435914967,17.655093527296977
2jvl4yhn,ebm-spatial-0-s2,5,"('e2e-ebm-spatial-0-s2-day1-forward_2022-09-20-12-44-32', 'e2e-ebm-spatial-0-s2-day1-backward_2022-09-20-12-55-04')",6.909928753569233,125.81681823730467,17.679367742783565,8.738030631229378,pilotnet-ebm,0.436405972707799,0.5483202989631142,1.6401323491193085,6.909590108698412,8444.219200971664,1688.8438401943326,27.796907056936476,56.328374215304294,17.655093527296977
2jvl4yhn,ebm-spatial-0-s2,5,"('ebm-paper-ebm-spatial-0-s2-forward_2022-09-21-11-13-54', 'ebm-paper-ebm-spatial-0-s2-backward_2022-09-21-11-24-29')",6.909928753569233,125.81681823730467,17.679367742783565,8.738030631229378,pilotnet-ebm,0.44261824033090486,0.5594566831670558,1.5097785037029725,8.546062907258026,8442.245853547847,1688.4491707095694,46.82947765404499,57.14833429731367,17.655093527296977
2jvl4yhn,ebm-spatial-0-s2,4,"('ebm-paper-ebm-spatial-0-s2-forward_2022-09-23-11-43-09', 'ebm-paper-ebm-spatial-0-s2-backwards_2022-09-23-11-31-39')",6.909928753569233,125.81681823730467,17.679367742783565,8.738030631229378,pilotnet-ebm,0.46435440082413504,0.5831414220433733,1.6892081174038984,8.905859641153759,8466.30469269701,2116.5761731742523,33.72334263601229,56.86192187095585,17.655093527296977
bxd5wtqk,mae-s2,2,"('e2e-mae-s2-day1-forward_2022-09-20-11-25-14', 'e2e-mae-s2-day1-backward_2022-09-20-11-35-49')",7.196932461202463,54.84665298461914,17.679367742783565,7.828012066693326,pilotnet,0.40097410675482026,0.5044166483976256,1.5976617318493695,5.848604722018271,8516.510889668296,4258.255444834148,26.69053029812175,37.83659074302861,17.655093527296977
bxd5wtqk,mae-s2,2,"('ebm-paper-mae-s2-forward_2022-09-21-12-22-57', 'ebm-paper-mae-s2-backward_2022-09-21-12-34-47')",7.196932461202463,54.84665298461914,17.679367742783565,7.828012066693326,pilotnet,0.4441595519577518,0.5500302370774117,1.7005025902409174,6.200212043920569,8558.516800893449,4279.258400446724,29.645190930720872,75.34387135487425,17.655093527296977
bxd5wtqk,mae-s2,1,"('ebm-paper-mae-s2-forward_2022-09-23-10-31-24', 'ebm-paper-mae-s2-backward_2022-09-23-10-19-55')",7.196932461202463,54.84665298461914,17.679367742783565,7.828012066693326,pilotnet,0.44093369740297284,0.5403309013834111,1.5591729151456617,5.361872640706965,8566.365133271056,8566.365133271056,26.277065673148737,33.10261226619327,17.655093527296977
