training_run,model_name,real_interventions,drive,elva_mae,elva_whiteness,elva_expert_whiteness,val_mae,model_type,vista_interventions,traj_mae,traj_rmse,traj_max,traj_failure_rate,distance,distance_per_intervention,whiteness,cmd_whiteness,expert_whiteness
1eq2jiva,mdn-1-s1,,"('2022-09-09-11-47-04',)",13.255172273880182,59.011619567871094,17.679367742783565,10.812694440624952,pilotnet-mdn,,0.9616647657598938,1.0686101512799564,1.718444008898217,45.869234668018244,483.2931205214147,,23.190338123547377,26.047311287388418,17.45042069763911
1eq2jiva,mdn-1-s1,,"('2022-09-09-10-51-33-mdn-1-s1',)",13.255172273880182,59.011619567871094,17.679367742783565,10.812694440624952,pilotnet-mdn,,0.4878918711362772,0.5855818619722861,1.7172052450182516,10.15625,817.708008277709,,46.75892711806124,48.97816361588964,17.45042069763911
1bdlpf8d,mdn-3-s2,9,"('2022-09-09-10-04-05-mdn-3-s2',)",7.826568286162946,78.49037170410156,17.679367742783565,8.926731149182968,pilotnet-mdn,18.0,0.4815209212080426,0.6050033405924395,1.696838043837803,11.048387714257867,8302.551504851803,922.5057227613114,42.89146310487554,94.6099070855079,17.655093527296977
33smkc56,mdn-3-s3,13,"('2022-09-09-11-23-11-mdn-3-s3',)",7.247706356373759,67.75833129882812,17.679367742783565,9.51304378547812,pilotnet-mdn,15.0,0.477816570165874,0.5926982406886275,1.5791344344567326,9.630454582527298,8188.9313858591895,629.9177989122453,47.64918624695926,77.06518460712553,17.655093527296977
1hbbr6dm,mdn-5-s1,15,"('2022-09-09-11-00-03-mdn-5-s1',)",6.734989503523995,74.41683959960938,17.679367742783565,9.070599925600272,pilotnet-mdn,9.0,0.4384180666053429,0.5589034228225129,1.7152441289343643,9.174056316256445,8148.70541048292,543.247027365528,41.084376040000095,92.48880606749358,17.655093527296977
27dfw40i,mdn-5-s2,13,"('2022-09-09-10-27-50-mdn-5-s2',)",7.591262633641685,129.6460418701172,17.679367742783565,8.940859492046002,pilotnet-mdn,12.0,0.47541350688804884,0.5984297120501869,1.710029942515694,10.056767819747526,8265.975498314016,635.8442691010781,37.53175598353013,181.62446340480233,17.655093527296977
3ftnqxcb,ebm-512-s1,2,"('2022-08-31-15-37-37_elva_ebm_512_front', '2022-08-31-15-48-15_elva_ebm_512_back')",7.487386374941065,191.0606384277344,17.679367742783565,8.607146266277077,pilotnet-ebm,1.0,0.5077197049536633,0.6160655299379789,1.7139975375928118,10.328904105065195,8504.425014099703,4252.212507049851,36.517776085884336,174.79069955812213,17.655093527296977
pg0eweml,ebm-256,4,"('2022-08-31-16-29-08_elva_ebm_256_front', '2022-08-31-16-42-01_elva_ebm_256_back')",7.919712045844596,235.2512664794922,17.679367742783565,8.746287028595184,pilotnet-ebm,10.0,0.4771588306147337,0.5814160674082517,1.717645579485589,8.151956723450333,8476.586443922297,2119.146610980574,28.690812204405567,112.79472874612334,17.655093527296977
iddqahiv,ebm-128,3,"('2022-08-31-17-16-19_elva_ebm_128_front', '2022-08-31-17-26-53_elva_ebm_128_back')",7.583856684079179,232.1031951904297,17.679367742783565,8.340006528658169,pilotnet-ebm,13.0,0.49143479732395223,0.5963408504360111,1.7219606412941855,8.194858012503309,8524.526157856031,2841.508719285344,34.14690082092955,118.88852667127574,17.655093527296977
3g3wwx73,classifier-512,1,"('2022-08-31-14-52-25_elva_classifier_512_forward', '2022-08-31-15-18-55_elva_classifier_512_forward_continued', '2022-08-31-15-26-05_elva_classifier_512_back')",8.117840721151211,208.4579162597656,17.679367742783565,9.925803470768946,pilotnet-classifier,15.0,0.4577281856452433,0.5700010186536904,1.7197470980151923,7.949119647280245,8588.686405137563,8588.686405137563,33.80602982306862,75.50220851678151,17.655093527296977
